acq_date,lat,lon,frp
2026-04-25,37.77538,-120.71471,0.79
2026-04-25,37.77681,-120.70217,0.9
2026-04-25,37.77767,-120.72607,0.93
2026-04-25,38.79921,-121.88552,1.19
2026-04-25,38.80064,-121.8866,0.75
2026-04-25,41.88068,-121.43178,3.32
2026-04-25,41.88283,-121.44664,9.59
2026-04-25,34.13037,-115.71587,5.73
2026-04-25,39.82512,-122.08376,12.07
2026-04-25,41.56427,-122.46409,2.88
2026-04-25,41.88461,-121.43393,13.37
2026-04-25,41.88508,-121.42715,13.37
2026-04-25,41.88555,-121.42038,19.49
2026-04-26,39.61926,-119.26307,0.64
2026-04-26,37.95089,-122.39875,1.1
2026-04-26,33.18642,-115.42681,7.95
2026-04-26,38.98371,-123.01817,2.59
2026-04-26,40.05442,-123.42747,20.07
2026-04-26,41.23872,-120.51633,4.55
2026-04-17,40.50103,-123.77199,0.52
2026-04-17,36.35768,-114.91022,1.18
2026-04-17,36.3816,-114.87556,0.53
2026-04-17,37.4544,-121.93108,1.06
2026-04-17,38.01376,-122.1153,1.98
2026-04-17,38.66055,-121.90823,1.07
2026-04-17,40.3032,-123.6163,0.42
2026-04-17,40.30353,-123.6218,0.42
2026-04-17,40.44998,-123.7807,0.48
2026-04-17,32.59694,-117.01385,0.54
2026-04-17,32.60036,-117.01309,0.54
2026-04-17,33.4914,-117.61725,0.94
2026-04-17,33.61173,-117.82343,0.63
2026-04-17,33.6153,-117.8228,0.63
2026-04-17,33.71598,-117.712,1.17
2026-04-17,33.79215,-117.47532,0.65
2026-04-17,33.79566,-117.47458,0.67
2026-04-17,33.87623,-117.00103,0.42
2026-04-17,34.0789,-117.49716,0.7
2026-04-17,34.11584,-117.92562,0.53
2026-04-17,34.14138,-117.429,0.68
2026-04-17,34.2421,-118.3798,0.46
2026-04-17,34.24395,-118.38073,0.36
2026-04-17,34.29214,-118.8017,1.06
2026-04-17,34.29245,-118.80262,0.64
2026-04-17,34.32441,-118.52957,0.55
2026-04-17,34.3343,-118.51761,0.81
2026-04-17,34.35526,-116.85272,0.85
2026-04-17,34.43048,-118.64252,1.85
2026-04-17,34.6071,-117.33486,0.99
2026-04-17,34.623,-117.0992,0.88
2026-04-17,34.81353,-118.44496,1.39
2026-04-17,40.30373,-123.61758,1.19
